C03-P03,C04-P04,F03-C03,F04-C04,F07-T03,F08-T04,FP01-F03,FP01-F07,FP02-F04,FP02-F08,FZ-CZ,P03-O01,P04-O02,T03-T05,T04-T06,T05-O01,T06-O02,uid,sleep_state
8.613986,6.2537093,7.1093407,6.3595366,6.939086,6.4094067,7.84287,7.7678986,5.9276204,6.312699,5.511527,7.387221,8.774277,7.745049,6.3543744,6.1778245,6.4654393,15,wake
5.5841045,6.7752357,8.001483,6.3411913,6.2739305,7.72753,7.38853,7.614206,6.2202315,7.251401,5.428804,5.3696203,10.633245,16.606672,8.37227,12.855144,8.76514,16,sleep
6.7119236,8.196298,6.3859086,7.073725,7.0350437,7.6165824,6.623628,7.058413,6.5747886,7.463484,5.198766,7.398788,7.731791,7.8577833,7.4662848,6.9222755,7.3779016,16,wake
7.077366,5.081874,7.593712,4.9591913,4.74003,4.822191,5.12784,4.68255,4.9015017,5.019209,6.496677,4.814924,6.865094,6.613209,4.7119074,4.824964,4.9478674,17,sleep
6.9774346,8.193991,7.049512,6.8554206,6.4283843,6.8332767,5.7112055,6.3191314,6.2056327,5.8276362,4.9044924,7.300996,6.940413,6.6642995,7.183055,6.860216,7.206465,17,wake
12.749959,10.353483,10.448508,9.446785,9.418836,7.143188,7.3121057,8.257208,7.616654,6.7886353,5.562202,9.457074,10.030337,8.859339,10.120763,8.547504,9.660468,18,sleep
7.891976,6.2259974,6.5174823,6.7610593,7.2734957,6.9653835,6.110743,6.479478,6.4392395,6.4767423,5.05077,6.766774,6.764961,7.128092,7.6987405,7.003084,7.4845257,18,wake
9.697734,9.787367,9.399479,9.616459,9.292198,8.689958,8.835937,9.365568,8.841129,8.941366,5.4612947,9.900312,9.811623,8.535863,8.682844,9.026504,10.484075,19,sleep
4.239069,4.607347,4.9144993,5.2901974,5.0284524,4.8643465,5.161801,4.9092326,5.05774,4.786888,5.032399,4.4681463,4.258381,4.7390213,4.8977103,4.776616,4.883683,19,wake
4.848294,5.113681,4.8525724,5.1938825,4.9676127,4.770004,5.093946,5.0832415,5.1693816,5.121904,4.957798,5.1955657,4.988435,5.1969094,4.773007,5.2048225,5.290508,20,sleep
6.839806,5.925144,7.339686,6.9717445,6.6283407,6.894328,6.2856345,6.1575794,5.594604,6.0495496,4.8910017,7.219137,6.5477204,6.7539587,6.978864,8.029968,7.177187,20,wake
9.79463,6.184817,6.8763213,5.9354615,7.156398,6.17374,6.4440765,7.4006734,5.507311,6.171617,5.310258,7.7762837,6.9860096,9.2173395,6.5277996,7.9310226,6.177341,21,sleep
8.819374,7.366059,6.3550053,8.246313,7.234001,7.0473137,6.4060545,8.265708,8.200344,6.3997693,5.465233,8.321496,7.2768445,7.8017745,8.369952,7.676309,7.9739137,21,wake
7.452118,6.1031275,6.790718,5.88582,5.8214097,5.8440995,6.49025,5.5037837,6.0488753,6.352625,5.2355175,6.5866394,6.218608,8.304525,6.727193,7.626618,6.23252,22,sleep
6.5277505,6.5719376,7.4754605,7.4285192,6.71551,7.761442,6.8991303,7.69797,6.582232,7.286123,4.9976697,7.6518903,7.2314844,6.899169,7.388389,8.062737,7.140422,22,wake
7.330738,7.2420487,6.736297,7.7898216,6.8769555,7.088611,8.025895,6.688553,6.5992866,6.149812,5.3724976,8.023321,9.186137,7.8875074,10.069445,7.831176,9.606935,23,sleep
8.122397,10.175902,8.824882,8.987666,7.7530503,8.044846,7.3609333,6.955431,8.576125,8.048922,4.8745675,9.022545,8.041351,8.625939,7.355202,9.337129,9.02816,23,wake
8.02438,6.704166,6.695697,6.1715813,8.62963,12.885802,6.073208,7.385498,6.223636,6.508098,5.545404,9.636605,8.769424,9.486778,6.506705,9.705512,6.6698456,24,sleep
4.3659825,4.3822036,4.3830137,4.3538027,4.3819427,4.3440065,4.3577466,4.378106,4.366528,4.352818,4.5949802,4.3530626,4.441495,4.3473883,4.3911576,4.360853,4.4437323,24,wake
9.932453,10.1699095,7.090071,10.889695,6.455596,9.926963,6.4938846,5.799049,9.059567,9.893279,5.5178666,9.957698,10.970897,9.868998,10.913061,10.280267,9.064977,25,sleep
5.6458,5.9509244,5.820923,5.9626412,5.801566,5.5723944,5.532286,5.987015,5.8623786,5.6776485,4.790533,6.237485,6.5902243,5.586357,5.874039,6.292459,5.91917,25,wake
